VALUE;SUB_VALUE;SUB_VALUE2;TPLKZ;FLTYP;FLLEVEL;EQART;RBNR;NATURE;DOCUMENTO_PM
B1;01;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;01;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;01;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;01;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;01;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;01;Z-RES;E;6;FL_CONTCOM;FL00000E;;
DS;C1;01;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;01;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;01;Z-RES;E;6;FL_CONTCOM;FL00000E;;
C2;01;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;01;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C2;01;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C2;01;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C2;01;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C2;01;Z-RES;E;6;FL_CONTCOM;FL00000E;;
AC;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P1;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
P2;01;1E;Z-RES;E;5;FL_PCS;FL00000E;;
AC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;01;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
CH;00;02;Z-RES;E;6;FL_AUXSYST;FL00000E;;
B1;02;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;02;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;02;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;02;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;02;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
DS;C1;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;02;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
C2;02;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C2;02;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C2;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C2;02;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C2;02;Z-RES;E;6;FL_CONTCOM;FL00000E;;
AC;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P1;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
P2;02;1E;Z-RES;E;5;FL_PCS;FL00000E;;
AC;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;02;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
CH;00;03;Z-RES;E;6;FL_AUXSYST;FL00000E;;
B1;03;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;03;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;03;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;03;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;03;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;03;Z-RES;E;6;FL_CONTCOM;FL00000E;;
DS;C1;03;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;03;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;03;Z-RES;E;6;FL_CONTCOM;FL00000E;;
C2;03;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;03;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C2;03;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C2;03;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C2;03;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C2;03;Z-RES;E;6;FL_CONTCOM;FL00000E;;
AC;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P1;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
P2;03;1E;Z-RES;E;5;FL_PCS;FL00000E;;
AC;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;03;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
CH;00;04;Z-RES;E;6;FL_AUXSYST;FL00000E;;
B1;04;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;04;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;04;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;04;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;04;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;04;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C1;04;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C1;04;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;04;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;04;Z-RES;E;6;FL_CONTCOM;FL00000E;;
SA;C1;04;Z-RES;E;6;FL_AUXSYST;FL00000E;;
C2;04;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;04;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C2;04;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C2;04;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C2;04;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C2;04;Z-RES;E;6;FL_CONTCOM;FL00000E;;
AC;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P1;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
P2;04;1E;Z-RES;E;5;FL_PCS;FL00000E;;
AC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
LC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;04;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
B1;05;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;05;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;05;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;05;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;05;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
DS;C1;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;05;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
C2;05;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C2;05;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C2;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C2;05;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C2;05;Z-RES;E;6;FL_CONTCOM;FL00000E;;
AC;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DC;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P1;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AC;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
AR;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
DS;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
GI;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PM;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
PS;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
RC;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
TK;P2;05;Z-RES;E;6;FL_PCSCOMP;FL00000E;;
CH;00;06;Z-RES;E;6;FL_AUXSYST;FL00000E;;
B1;06;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B2;06;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B3;06;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
B4;06;1E;Z-RES;E;5;FL_BATBANK;FL00000E;;
C1;06;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C1;06;Z-RES;E;6;FL_CONTCOM;FL00000E;;
DS;C1;06;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C1;06;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C1;06;Z-RES;E;6;FL_CONTCOM;FL00000E;;
C2;06;1E;Z-RES;E;5;FL_BATCONT;FL00000E;;
CL;C2;06;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C2;06;Z-RES;E;6;FL_SAFSYST;FL00000E;;
DS;C2;06;Z-RES;E;6;FL_CONTCOM;FL00000E;;
EN;C2;06;Z-RES;E;6;FL_INFRAST;FL00000E;;
LC;C2;06;Z-RES;E;6;FL_CONTCOM;FL00000E;;
CP;C3;06;Z-RES;E;6;FL_SAFSYST;FL00000E;;
PL;C3;06;Z-RES;E;6;FL_AUT&CON;FL00000E;;
CP;C4;06;Z-RES;E;6;FL_SAFSYST;FL00000E;;
